task,discipline,category,primary_cluster,primary_score,secondary_clusters,all_candidate_clusters,card_path
miner-fatigue,mechanical,fatigue-analysis,SSC-12,2.5,SSC-06,SSC-12:2.5;SSC-06:1.5,docs/task-world-opportunities/task-cards/mechanical/miner-fatigue.md
minor-losses-calculation,mechanical,pipe-hydraulics,SSC-11,2.5,SSC-06;SSC-03,SSC-11:2.5;SSC-06:2.5;SSC-03:1.5,docs/task-world-opportunities/task-cards/mechanical/minor-losses-calculation.md
mlss-inventory,mechanical,fundamental-calculations,SSC-10,4.5,SSC-06,SSC-10:4.5;SSC-06:1.5,docs/task-world-opportunities/task-cards/mechanical/mlss-inventory.md
nac-load-calculation,mechanical,fire-services,SSC-19,2.5,SSC-14;SSC-08,SSC-19:2.5;SSC-20:1.5;SSC-14:1.5;SSC-08:1.5,docs/task-world-opportunities/task-cards/mechanical/nac-load-calculation.md
nitrification-srt,mechanical,nutrient-removal,SSC-10,5.5,SSC-06,SSC-10:5.5;SSC-06:1.5,docs/task-world-opportunities/task-cards/mechanical/nitrification-srt.md
npsh-available,mechanical,pump-hydraulics,SSC-06,4.5,SSC-03,SSC-06:4.5;SSC-03:2.5,docs/task-world-opportunities/task-cards/mechanical/npsh-available.md
occupant-load,mechanical,prescriptive-compliance,SSC-08,2.5,SSC-15;SSC-14,SSC-08:2.5;SSC-20:1.5;SSC-15:1.5;SSC-14:1.5,docs/task-world-opportunities/task-cards/mechanical/occupant-load.md
oxygen-requirements,mechanical,activated-sludge,SSC-10,4.5,SSC-17;SSC-06,SSC-10:4.5;SSC-17:1.5;SSC-06:1.5,docs/task-world-opportunities/task-cards/mechanical/oxygen-requirements.md
pfr-volume,mechanical,reactor-sizing,SSC-14,1.5,SSC-10;SSC-06,SSC-14:1.5;SSC-10:1.5;SSC-06:1.5,docs/task-world-opportunities/task-cards/mechanical/pfr-volume.md
por-aor-compliance,mechanical,system-curves,SSC-15,1.5,SSC-06,SSC-15:1.5;SSC-06:1.5,docs/task-world-opportunities/task-cards/mechanical/por-aor-compliance.md
pressure-loss-calculation,mechanical,pipe-sizing-water,SSC-11,3.5,SSC-06;SSC-03,SSC-11:3.5;SSC-06:1.5;SSC-03:1.5,docs/task-world-opportunities/task-cards/mechanical/pressure-loss-calculation.md
pump-affinity-laws,mechanical,pump-sizing,SSC-06,3.5,SSC-01,SSC-06:3.5;SSC-01:1,docs/task-world-opportunities/task-cards/mechanical/pump-affinity-laws.md
pump-head-calculation,mechanical,pump-hydraulics,SSC-06,2.5,SSC-03,SSC-06:2.5;SSC-03:1.5,docs/task-world-opportunities/task-cards/mechanical/pump-head-calculation.md
pump-power-calculation,mechanical,pump-sizing,SSC-06,3.5,SSC-08;SSC-03,SSC-06:3.5;SSC-08:1.5;SSC-03:1.5,docs/task-world-opportunities/task-cards/mechanical/pump-power-calculation.md
pump-power-efficiency,mechanical,pump-hydraulics,SSC-06,5.5,SSC-08;SSC-03,SSC-06:5.5;SSC-08:1.5;SSC-03:1.5,docs/task-world-opportunities/task-cards/mechanical/pump-power-efficiency.md
sabine-rt60,mechanical,fundamental-calculations,SSC-12,2.5,SSC-08;SSC-06,SSC-12:2.5;SSC-08:2.5;SSC-06:1.5,docs/task-world-opportunities/task-cards/mechanical/sabine-rt60.md
slr-calculation,mechanical,clarifier-design,SSC-10,3.5,SSC-04,SSC-10:3.5;SSC-20:1.5;SSC-04:1,docs/task-world-opportunities/task-cards/mechanical/slr-calculation.md
sludge-production,mechanical,activated-sludge,SSC-10,3.5,SSC-06,SSC-10:3.5;SSC-06:1.5,docs/task-world-opportunities/task-cards/mechanical/sludge-production.md
sor-calculation,mechanical,clarifier-design,SSC-10,3.5,SSC-06,SSC-10:3.5;SSC-20:1.5;SSC-06:1.5,docs/task-world-opportunities/task-cards/mechanical/sor-calculation.md
spl-log-sum,mechanical,fundamental-calculations,SSC-12,3.5,SSC-06,SSC-12:3.5;SSC-06:1.5,docs/task-world-opportunities/task-cards/mechanical/spl-log-sum.md
sprinkler-discharge,mechanical,sprinkler-hydraulics,SSC-19,2.5,SSC-06,SSC-19:2.5;SSC-20:1.5;SSC-06:1.5,docs/task-world-opportunities/task-cards/mechanical/sprinkler-discharge.md
srt-calculation,mechanical,fundamental-calculations,SSC-10,4.5,SSC-06,SSC-10:4.5;SSC-20:1.5;SSC-06:1.5,docs/task-world-opportunities/task-cards/mechanical/srt-calculation.md
steel-critical-temp,mechanical,structural-fire,SSC-19,2.5,SSC-14;SSC-15,SSC-19:2.5;SSC-14:2.5;SSC-20:1.5;SSC-15:1.5,docs/task-world-opportunities/task-cards/mechanical/steel-critical-temp.md
t-squared-hrr,mechanical,design-fire,SSC-19,3.5,SSC-17,SSC-19:3.5;SSC-17:1.5,docs/task-world-opportunities/task-cards/mechanical/t-squared-hrr.md
thrust-force-calculation,mechanical,thrust-restraint,SSC-11,4.5,SSC-06;SSC-03,SSC-11:4.5;SSC-06:1.5;SSC-03:1.5,docs/task-world-opportunities/task-cards/mechanical/thrust-force-calculation.md
velocity-check,mechanical,pipe-hydraulics,SSC-11,2.5,SSC-06;SSC-03,SSC-11:2.5;SSC-06:1.5;SSC-03:1.5,docs/task-world-opportunities/task-cards/mechanical/velocity-check.md
vibration-transmissibility,mechanical,vibration,SSC-12,2.5,SSC-06,SSC-12:2.5;SSC-06:1.5,docs/task-world-opportunities/task-cards/mechanical/vibration-transmissibility.md
visibility-criterion,mechanical,tenability-assessment,SSC-19,3.5,SSC-08;SSC-17,SSC-19:3.5;SSC-08:2.5;SSC-17:1.5,docs/task-world-opportunities/task-cards/mechanical/visibility-criterion.md
water-supply-curve,mechanical,hydrant-flow-test,SSC-19,3.5,SSC-06,SSC-19:3.5;SSC-06:2.5;SSC-20:1.5,docs/task-world-opportunities/task-cards/mechanical/water-supply-curve.md
wave-speed-calculation,mechanical,transient-analysis,SSC-11,2.5,SSC-06;SSC-03,SSC-11:2.5;SSC-06:1.5;SSC-03:1.5;SSC-04:1;SSC-01:1,docs/task-world-opportunities/task-cards/mechanical/wave-speed-calculation.md
berthing-energy-calc,structural,berthing-energy,SSC-14,2.5,SSC-04;SSC-17,SSC-14:2.5;SSC-04:1.5;SSC-17:1,docs/task-world-opportunities/task-cards/structural/berthing-energy-calc.md
bracket-load-calc,structural,bracket-connection,SSC-14,4.5,SSC-09,SSC-14:4.5;SSC-09:1.5,docs/task-world-opportunities/task-cards/structural/bracket-load-calc.md
carbon-equivalent-calc,structural,steel-specification,SSC-15,3.5,SSC-14,SSC-15:3.5;SSC-14:1.5,docs/task-world-opportunities/task-cards/structural/carbon-equivalent-calc.md
composite-section,structural,superstructure-design,SSC-14,3.5,SSC-15,SSC-14:3.5;SSC-15:2.5,docs/task-world-opportunities/task-cards/structural/composite-section.md
construction-tolerance,structural,construction-tolerance,SSC-14,1.5,SSC-09;SSC-16,SSC-14:1.5;SSC-09:1.5;SSC-16:1,docs/task-world-opportunities/task-cards/structural/construction-tolerance.md
effective-wind-area,structural,wind-load-analysis,SSC-09,3.5,SSC-14,SSC-09:3.5;SSC-14:2.5,docs/task-world-opportunities/task-cards/structural/effective-wind-area.md
fender-energy-check,structural,fender-design,SSC-14,2.5,SSC-04;SSC-17,SSC-14:2.5;SSC-04:2.5;SSC-17:1,docs/task-world-opportunities/task-cards/structural/fender-energy-check.md
gravity-base-stability,structural,wind-turbine-foundations,SSC-14,5.5,SSC-07;SSC-09,SSC-14:5.5;SSC-07:2.5;SSC-09:1.5,docs/task-world-opportunities/task-cards/structural/gravity-base-stability.md
lap-splice-length,structural,rebar-detailing,SSC-14,2.5,,SSC-14:2.5,docs/task-world-opportunities/task-cards/structural/lap-splice-length.md
load-combinations,structural,load-analysis,SSC-14,3.5,SSC-09,SSC-14:3.5;SSC-09:1.5,docs/task-world-opportunities/task-cards/structural/load-combinations.md
mooring-line-capacity,structural,marine-mooring,SSC-14,2.5,SSC-04,SSC-14:2.5;SSC-04:2.5,docs/task-world-opportunities/task-cards/structural/mooring-line-capacity.md
pipe-support-dead-load,structural,pipe-support,SSC-14,4.5,SSC-11;SSC-06,SSC-14:4.5;SSC-11:2.5;SSC-06:1.5;SSC-03:1,docs/task-world-opportunities/task-cards/structural/pipe-support-dead-load.md
scm-substitution,structural,concrete-mix-design,SSC-15,5.5,SSC-14,SSC-15:5.5;SSC-14:1.5,docs/task-world-opportunities/task-cards/structural/scm-substitution.md
target-strength-calc,structural,concrete-mix-design,SSC-15,4.5,SSC-14,SSC-15:4.5;SSC-14:1.5,docs/task-world-opportunities/task-cards/structural/target-strength-calc.md
thermal-movement-calc,structural,movement-tolerance,SSC-15,1.5,SSC-14;SSC-09,SSC-15:1.5;SSC-14:1.5;SSC-09:1.5,docs/task-world-opportunities/task-cards/structural/thermal-movement-calc.md
