name,discipline,category,template_dir,card_path,description,standards,tags,tool_mode,param_count,output_count,archetype_count,visibility_mix,hidden_params,multimodal_families,operation_handles
wave-breaking,civil,wave-climate,src/aec_bench/templates/builtin/civil/wave_breaking,docs/task-world-opportunities/task-cards/civil/wave-breaking.md,"Wave breaking criteria using depth-limited breaking height, Iribarren number, and breaker type classification (USACE CEM)",USACE Coastal Engineering Manual (CEM); Weggel 1972,coastal; wave; breaking; iribarren; surf,both,4,4,4,all_given; partial,bottom_slope; wave_period_s,spatial-map; chart-curve; tabular-source,parameters; outputs; difficulty; archetype; evidence_profile; hidden_parameter_policy; source_geometry; source_table; source_curve
wave-runup,civil,wave-overtopping,src/aec_bench/templates/builtin/civil/wave_runup,docs/task-world-opportunities/task-cards/civil/wave-runup.md,2% exceedance wave runup on coastal structures using EurOtop (2018) TAW formula,EurOtop (2018); TAW Guidelines,coastal; wave; runup; overtopping; breakwater; dike,both,5,3,4,all_given; partial,berm_factor; roughness_factor; wave_period_s,spatial-map; chart-curve; tabular-source,parameters; outputs; difficulty; archetype; evidence_profile; hidden_parameter_policy; source_geometry; source_table; source_curve
wave-shoaling,civil,wave-climate,src/aec_bench/templates/builtin/civil/wave_shoaling,docs/task-world-opportunities/task-cards/civil/wave-shoaling.md,Wave shoaling and refraction using Fenton & McKee (1990) explicit wavelength approximation and Snell's law (USACE CEM),USACE Coastal Engineering Manual (CEM); Fenton & McKee 1990,coastal; wave; shoaling; refraction; nearshore,both,4,3,4,all_given; partial,deep_water_wave_angle_deg; wave_period_s,spatial-map; chart-curve; tabular-source,parameters; outputs; difficulty; archetype; evidence_profile; hidden_parameter_policy; source_geometry; source_table; source_curve
weir-outlet-design,civil,detention-design,src/aec_bench/templates/builtin/civil/weir_outlet_design,docs/task-world-opportunities/task-cards/civil/weir-outlet-design.md,Size emergency spillway weir for detention basin overflow,Hydraulics textbooks; Francis formula (1883),civil; hydraulics; stormwater; detention; weir; spillway,with-tool,4,2,4,all_given; partial,discharge_coefficient; head_over_weir_m,spatial-map; tabular-source; time-series,parameters; outputs; difficulty; archetype; evidence_profile; hidden_parameter_policy; source_geometry; source_table; source_timeseries
ac-resistance-temperature,electrical,electrical-parameters,src/aec_bench/templates/builtin/electrical/ac_resistance_temperature,docs/task-world-opportunities/task-cards/electrical/ac-resistance-temperature.md,AC resistance of conductor at operating temperature including skin effect per IEC 60287,IEC 60287-1-1; IEEE 738,electrical; ac-resistance; skin-effect; temperature; transmission-lines; deterministic,with-tool,4,3,4,all_given; partial,conductor_material,drawing-geometry; tabular-source; time-series,parameters; outputs; difficulty; archetype; evidence_profile; hidden_parameter_policy; source_geometry; source_table; source_timeseries
access-controller-sizing,electrical,access-control,src/aec_bench/templates/builtin/electrical/access_controller_sizing,docs/task-world-opportunities/task-cards/electrical/access-controller-sizing.md,"Size access controllers, power supplies, and backup battery capacity",SIA OSDP; UL 294,electrical; security; access-control; power-supply; battery; deterministic,with-tool,9,5,2,all_given; partial,battery_derating_factor,tabular-source; time-series; drawing-geometry,parameters; outputs; difficulty; archetype; evidence_profile; hidden_parameter_policy; source_geometry; source_table; source_timeseries
all-red-interval-calculation,electrical,signal-timing,src/aec_bench/templates/builtin/electrical/all_red_interval_calculation,docs/task-world-opportunities/task-cards/electrical/all-red-interval-calculation.md,Traffic signal all-red clearance interval,MUTCD; AS 1742.14,electrical; traffic-signals; all-red; clearance; deterministic,with-tool,3,3,2,all_given; partial,vehicle_speed_m_s,drawing-geometry; tabular-source; spatial-map,parameters; outputs; difficulty; archetype; evidence_profile; hidden_parameter_policy; source_geometry; source_table
bandwidth-calculation,electrical,its-communications,src/aec_bench/templates/builtin/electrical/bandwidth_calculation,docs/task-world-opportunities/task-cards/electrical/bandwidth-calculation.md,ITS network bandwidth capacity from device inventory,IEEE 802.3; NTCIP,electrical; its; communications; bandwidth; network; deterministic,with-tool,8,3,2,all_given; partial,future_capacity_buffer_pct,drawing-geometry; tabular-source; spatial-map,parameters; outputs; difficulty; archetype; evidence_profile; hidden_parameter_policy; source_geometry; source_table
battery-sizing,electrical,power-supply,src/aec_bench/templates/builtin/electrical/battery_sizing,docs/task-world-opportunities/task-cards/electrical/battery-sizing.md,Backup battery capacity and UPS apparent power sizing,EN 50125; IEEE 485,electrical; battery; ups; backup-power; autonomy; deterministic,with-tool,8,4,2,all_given; partial,temperature_derating_factor,tabular-source; time-series; drawing-geometry,parameters; outputs; difficulty; archetype; evidence_profile; hidden_parameter_policy; source_geometry; source_table; source_timeseries
bess-sizing,electrical,bess-design,src/aec_bench/templates/builtin/electrical/bess_sizing,docs/task-world-opportunities/task-cards/electrical/bess-sizing.md,Battery energy storage system sizing calculation per IEC 62933,IEC 62933; IEEE 2030.2.1,electrical; bess; battery; energy-storage; sizing; capacity,with-tool,5,4,4,all_given; partial,depth_of_discharge_pct; round_trip_efficiency_pct,tabular-source; time-series; drawing-geometry,parameters; outputs; difficulty; archetype; evidence_profile; hidden_parameter_policy; source_geometry; source_table; source_timeseries
bess-sizing-basic,electrical,bess-design,src/aec_bench/templates/builtin/electrical/bess_sizing_basic,docs/task-world-opportunities/task-cards/electrical/bess-sizing-basic.md,Calculate basic BESS power and energy capacity,IEC 62933; IEEE 2030.2.1,electrical; bess; storage; energy; capacity; deterministic,with-tool,5,4,2,all_given; partial,end_of_life_capacity_retention_pct,tabular-source; time-series; drawing-geometry,parameters; outputs; difficulty; archetype; evidence_profile; hidden_parameter_policy; source_geometry; source_table; source_timeseries
busbar-forces,electrical,busbar-design,src/aec_bench/templates/builtin/electrical/busbar_forces,docs/task-world-opportunities/task-cards/electrical/busbar-forces.md,Busbar short-circuit electromagnetic force and stress calculation per IEEE 605 / IEC 60865-1,IEEE 605-2008; IEC 60865-1:2011,electrical; busbar; short-circuit; electromagnetic-force; substation,with-tool,7,3,3,all_given; partial,busbar_material; support_condition,tabular-source; time-series; drawing-geometry,parameters; outputs; difficulty; archetype; evidence_profile; hidden_parameter_policy; source_geometry; source_table; source_timeseries
cable-ampacity,electrical,cable-sizing,src/aec_bench/templates/builtin/electrical/cable_ampacity,docs/task-world-opportunities/task-cards/electrical/cable-ampacity.md,Cable ampacity derating calculation per AS/NZS 3008.1.1,AS/NZS 3008.1.1; IEC 60287; IEC 60364-5-52,electrical; cable-ampacity; derating; cable-sizing; deterministic,with-tool,6,4,4,all_given; partial,installation_method; insulation_type,tabular-source; time-series; drawing-geometry,parameters; outputs; difficulty; archetype; evidence_profile; hidden_parameter_policy; source_geometry; source_table; source_timeseries
car-dimensions-check,electrical,shaft-sizing,src/aec_bench/templates/builtin/electrical/car_dimensions_check,docs/task-world-opportunities/task-cards/electrical/car-dimensions-check.md,Calculate lift car dimension margins,ISO 4190-1; AS 1735.12; EN 81-70,electrical; vertical-transportation; lift; accessibility; dimensions; deterministic,with-tool,7,5,2,all_given; partial,minimum_door_opening_mm,drawing-geometry; tabular-source; time-series,parameters; outputs; difficulty; archetype; evidence_profile; hidden_parameter_policy; source_geometry; source_table; source_timeseries
cctv-storage-calculation,electrical,cctv-design,src/aec_bench/templates/builtin/electrical/cctv_storage_calculation,docs/task-world-opportunities/task-cards/electrical/cctv-storage-calculation.md,CCTV video storage sizing from bitrate and retention,IEC 62676-4,electrical; cctv; storage; video; security; deterministic,with-tool,5,3,2,all_given; partial,retention_days,drawing-geometry; tabular-source; spatial-map,parameters; outputs; difficulty; archetype; evidence_profile; hidden_parameter_policy; source_geometry; source_table
conduit-fill-calculation,electrical,structured-cabling,src/aec_bench/templates/builtin/electrical/conduit_fill_calculation,docs/task-world-opportunities/task-cards/electrical/conduit-fill-calculation.md,Structured cabling conduit fill percentage,ANSI/TIA-569; AS/NZS 3080,electrical; conduit; fill; structured-cabling; deterministic,with-tool,4,4,2,all_given; partial,maximum_fill_pct,drawing-geometry; tabular-source; time-series,parameters; outputs; difficulty; archetype; evidence_profile; hidden_parameter_policy; source_geometry; source_table; source_timeseries
cv-liquid-incompressible,electrical,control-valve-sizing,src/aec_bench/templates/builtin/electrical/cv_liquid_incompressible,docs/task-world-opportunities/task-cards/electrical/cv-liquid-incompressible.md,Control valve Cv sizing for incompressible liquid service per ISA-75.01.01,ISA-75.01.01; IEC 60534-2-1,electrical; instrumentation; control-valve; cv-sizing; liquid-flow,with-tool,7,4,4,all_given; partial,fl_recovery_factor; fluid_critical_pressure_bar; fluid_specific_gravity; fluid_vapor_pressure_bar,drawing-geometry; tabular-source; time-series,parameters; outputs; difficulty; archetype; evidence_profile; hidden_parameter_policy; source_geometry; source_table; source_timeseries
dc-ac-ratio,electrical,solar-pv-design,src/aec_bench/templates/builtin/electrical/dc_ac_ratio,docs/task-world-opportunities/task-cards/electrical/dc-ac-ratio.md,Solar PV DC/AC ratio (inverter loading ratio) and energy yield calculation,IEC 62548; AS/NZS 5033,electrical; solar; pv; inverter; dc-ac-ratio; clipping; energy-yield,with-tool,4,4,4,all_given; partial,annual_psh,drawing-geometry; tabular-source; document-evidence,parameters; outputs; difficulty; archetype; evidence_profile; hidden_parameter_policy; source_geometry; source_table
escalator-capacity,electrical,escalator-design,src/aec_bench/templates/builtin/electrical/escalator_capacity,docs/task-world-opportunities/task-cards/electrical/escalator-capacity.md,Escalator theoretical and practical passenger capacity,EN 115-1; AS 1735.10,electrical; escalator; capacity; vertical-transportation; deterministic,with-tool,4,4,2,all_given; partial,practical_loading_factor_pct,drawing-geometry; tabular-source; time-series,parameters; outputs; difficulty; archetype; evidence_profile; hidden_parameter_policy; source_geometry; source_table; source_timeseries
fiber-link-loss-budget,electrical,structured-cabling,src/aec_bench/templates/builtin/electrical/fiber_link_loss_budget,docs/task-world-opportunities/task-cards/electrical/fiber-link-loss-budget.md,Optical fibre link loss budget and power margin,ISO/IEC 11801; TIA-568,electrical; fibre; fiber; link-loss; structured-cabling; deterministic,with-tool,7,5,2,all_given; partial,system_loss_budget_db,tabular-source; time-series; drawing-geometry,parameters; outputs; difficulty; archetype; evidence_profile; hidden_parameter_policy; source_geometry; source_table; source_timeseries
4-20ma-scaling,electrical,signal-processing,src/aec_bench/templates/builtin/electrical/four_twenty_ma_scaling,docs/task-world-opportunities/task-cards/electrical/4-20ma-scaling.md,Linear process variable scaling to a 4-20 mA signal,ISA-5.1; IEC 60381,electrical; instrumentation; 4-20ma; signal-scaling; deterministic,with-tool,3,3,2,all_given; partial,upper_range_value,drawing-geometry; tabular-source; spatial-map,parameters; outputs; difficulty; archetype; evidence_profile; hidden_parameter_policy; source_geometry; source_table
grid-resistance,electrical,grounding-design,src/aec_bench/templates/builtin/electrical/grid_resistance,docs/task-world-opportunities/task-cards/electrical/grid-resistance.md,Substation grounding grid resistance calculation per IEEE 80-2013,IEEE 80-2013,electrical; grounding; earthing; substation; grid-resistance; deterministic,with-tool,6,4,4,all_given; partial,soil_resistivity_ohm_m,tabular-source; time-series; drawing-geometry,parameters; outputs; difficulty; archetype; evidence_profile; hidden_parameter_policy; source_geometry; source_table; source_timeseries
handling-capacity,electrical,traffic-analysis,src/aec_bench/templates/builtin/electrical/handling_capacity,docs/task-world-opportunities/task-cards/electrical/handling-capacity.md,Five-minute lift handling capacity percentage,CIBSE Guide D,electrical; lifts; handling-capacity; vertical-transportation; deterministic,with-tool,5,2,2,all_given; partial,car_loading_factor_pct,drawing-geometry; tabular-source; spatial-map,parameters; outputs; difficulty; archetype; evidence_profile; hidden_parameter_policy; source_geometry; source_table
ice-load-calculation,electrical,structural-loading,src/aec_bench/templates/builtin/electrical/ice_load_calculation,docs/task-world-opportunities/task-cards/electrical/ice-load-calculation.md,Calculate ice and wind loading on an overhead conductor,IEC 60826; AS/NZS 7000,electrical; transmission-line; ice-load; wind-load; conductor; deterministic,with-tool,5,6,2,all_given; partial,ice_density_kg_m3,drawing-geometry; tabular-source; document-evidence,parameters; outputs; difficulty; archetype; evidence_profile; hidden_parameter_policy; source_geometry; source_table
incident-energy,electrical,arc-flash,src/aec_bench/templates/builtin/electrical/incident_energy,docs/task-world-opportunities/task-cards/electrical/incident-energy.md,Arc flash incident energy calculation per IEEE 1584 and NFPA 70E,IEEE 1584; NFPA 70E,electrical; arc-flash; incident-energy; safety; PPE,with-tool,6,4,4,all_given; partial,electrode_gap_mm; enclosure_type,drawing-geometry; tabular-source; time-series,parameters; outputs; difficulty; archetype; evidence_profile; hidden_parameter_policy; source_geometry; source_table; source_timeseries
interior-uniformity,electrical,interior-lighting,src/aec_bench/templates/builtin/electrical/interior_uniformity,docs/task-world-opportunities/task-cards/electrical/interior-uniformity.md,Calculate interior illuminance uniformity ratios,EN 12464-1; AS/NZS 1680,electrical; lighting; interior-lighting; uniformity; deterministic,with-tool,4,3,2,all_given; partial,background_average_illuminance_lux,drawing-geometry; tabular-source; spatial-map,parameters; outputs; difficulty; archetype; evidence_profile; hidden_parameter_policy; source_geometry; source_table
interval-calculation,electrical,traffic-analysis,src/aec_bench/templates/builtin/electrical/interval_calculation,docs/task-world-opportunities/task-cards/electrical/interval-calculation.md,Average lift interval from round-trip time and lift count,CIBSE Guide D,electrical; lifts; vertical-transportation; interval; deterministic,with-tool,2,2,2,all_given; partial,lift_count,drawing-geometry; tabular-source; spatial-map,parameters; outputs; difficulty; archetype; evidence_profile; hidden_parameter_policy; source_geometry; source_table
leni-calculation,electrical,energy-performance,src/aec_bench/templates/builtin/electrical/leni_calculation,docs/task-world-opportunities/task-cards/electrical/leni-calculation.md,Calculate interior lighting LENI,EN 15193-1,electrical; lighting; interior-lighting; leni; energy; deterministic,with-tool,6,3,2,all_given; partial,daylight_factor,drawing-geometry; tabular-source; spatial-map,parameters; outputs; difficulty; archetype; evidence_profile; hidden_parameter_policy; source_geometry; source_table
line-capacitance,electrical,electrical-parameters,src/aec_bench/templates/builtin/electrical/line_capacitance,docs/task-world-opportunities/task-cards/electrical/line-capacitance.md,Overhead line capacitance and charging reactive power,IEC 60909,electrical; line-capacitance; charging; surge-impedance; transmission-lines; deterministic,with-tool,7,4,2,all_given; partial,frequency_hz,tabular-source; time-series; drawing-geometry,parameters; outputs; difficulty; archetype; evidence_profile; hidden_parameter_policy; source_geometry; source_table; source_timeseries
line-inductance,electrical,electrical-parameters,src/aec_bench/templates/builtin/electrical/line_inductance,docs/task-world-opportunities/task-cards/electrical/line-inductance.md,Three-phase overhead line inductance from GMD and GMR,IEC 60909; IEEE 738,electrical; line-inductance; gmd; gmr; transmission-lines; deterministic,with-tool,6,3,3,all_given; partial,bundle_count,drawing-geometry; tabular-source; time-series,parameters; outputs; difficulty; archetype; evidence_profile; hidden_parameter_policy; source_geometry; source_table; source_timeseries
lux-level-calculation,electrical,lighting-design,src/aec_bench/templates/builtin/electrical/lux_level_calculation,docs/task-world-opportunities/task-cards/electrical/lux-level-calculation.md,Calculate average room illuminance using the lumen method,AS/NZS 1680.1; AS/NZS 1680.2.2,electrical; lighting; lumen-method; illuminance; deterministic,with-tool,9,4,2,all_given; partial,utilisation_factor,drawing-geometry; tabular-source; spatial-map,parameters; outputs; difficulty; archetype; evidence_profile; hidden_parameter_policy; source_geometry; source_table
overlap-calculation,electrical,signal-sighting,src/aec_bench/templates/builtin/electrical/overlap_calculation,docs/task-world-opportunities/task-cards/electrical/overlap-calculation.md,Calculate rail signal overlap distance,Network Rail NR/L2/SIG/10158; AS 7711,electrical; rail; signalling; overlap; braking; deterministic,with-tool,6,6,2,all_given; partial,low_adhesion_factor,drawing-geometry; spatial-map; tabular-source,parameters; outputs; difficulty; archetype; evidence_profile; hidden_parameter_policy; source_geometry; source_table
pedestrian-clearance-time,electrical,signal-timing,src/aec_bench/templates/builtin/electrical/pedestrian_clearance_time,docs/task-world-opportunities/task-cards/electrical/pedestrian-clearance-time.md,Pedestrian flashing clearance interval from crossing length,MUTCD; AS 1742.14,electrical; traffic-signals; pedestrian; clearance-time; signal-timing; deterministic,with-tool,2,2,3,all_given; partial,walking_speed_m_s,drawing-geometry; tabular-source; spatial-map,parameters; outputs; difficulty; archetype; evidence_profile; hidden_parameter_policy; source_geometry; source_table
pfc-sizing,electrical,load-flow,src/aec_bench/templates/builtin/electrical/pfc_sizing,docs/task-world-opportunities/task-cards/electrical/pfc-sizing.md,Capacitor kVAr sizing for power factor correction,IEEE 3002.2; AS/NZS 2067,electrical; power-factor; capacitor; reactive-power; load-flow; deterministic,with-tool,3,4,3,all_given; partial,initial_power_factor,drawing-geometry; tabular-source; document-evidence,parameters; outputs; difficulty; archetype; evidence_profile; hidden_parameter_policy; source_geometry; source_table
poe-power-budget,electrical,poe-network,src/aec_bench/templates/builtin/electrical/poe_power_budget,docs/task-world-opportunities/task-cards/electrical/poe-power-budget.md,PoE switch power budget and headroom margin,IEEE 802.3bt; IEEE 802.3at,electrical; poe; network; power-budget; deterministic,with-tool,4,5,2,all_given; partial,required_headroom_pct,tabular-source; time-series; drawing-geometry,parameters; outputs; difficulty; archetype; evidence_profile; hidden_parameter_policy; source_geometry; source_table; source_timeseries
power-load-calculation,electrical,power-supply,src/aec_bench/templates/builtin/electrical/power_load_calculation,docs/task-world-opportunities/task-cards/electrical/power-load-calculation.md,Signalling equipment connected load and supply kVA,EN 50125; AS 7717,electrical; signalling; power-load; supply-sizing; deterministic,with-tool,5,4,2,all_given; partial,future_expansion_pct,drawing-geometry; tabular-source; document-evidence,parameters; outputs; difficulty; archetype; evidence_profile; hidden_parameter_policy; source_geometry; source_table
ppm-calculation,electrical,cctv-design,src/aec_bench/templates/builtin/electrical/ppm_calculation,docs/task-world-opportunities/task-cards/electrical/ppm-calculation.md,CCTV pixels-per-metre calculation from camera geometry,IEC 62676-4; EN 62676-4,electrical; cctv; ppm; camera; security; deterministic,with-tool,5,3,3,all_given; partial,target_ppm,drawing-geometry; spatial-map; tabular-source,parameters; outputs; difficulty; archetype; evidence_profile; hidden_parameter_policy; source_geometry; source_table
radial-feeder-voltage-drop,electrical,load-flow,src/aec_bench/templates/builtin/electrical/radial_feeder_voltage_drop,docs/task-world-opportunities/task-cards/electrical/radial-feeder-voltage-drop.md,Single-section radial distribution feeder voltage drop,IEEE 3002.2; AS/NZS 3008.1,electrical; radial-feeder; voltage-drop; distribution; deterministic,with-tool,6,5,2,all_given; partial,load_reactive_power_kvar,drawing-geometry; tabular-source; document-evidence,parameters; outputs; difficulty; archetype; evidence_profile; hidden_parameter_policy; source_geometry; source_table
rf-link-budget,electrical,wireless-design,src/aec_bench/templates/builtin/electrical/rf_link_budget,docs/task-world-opportunities/task-cards/electrical/rf-link-budget.md,Wireless RF link budget with free-space path loss,IEEE 802.11; FCC Part 15,electrical; wireless; rf; link-budget; path-loss; deterministic,with-tool,7,4,2,all_given; partial,obstacle_losses_db,drawing-geometry; tabular-source; spatial-map,parameters; outputs; difficulty; archetype; evidence_profile; hidden_parameter_policy; source_geometry; source_table
road-aeci-calculation,electrical,energy-performance,src/aec_bench/templates/builtin/electrical/road_aeci_calculation,docs/task-world-opportunities/task-cards/electrical/road-aeci-calculation.md,Calculate road lighting Annual Energy Consumption Index,EN 13201-5; AS/NZS 1158.3.1,electrical; lighting; road-lighting; aeci; energy; deterministic,with-tool,5,2,2,all_given; partial,dimmed_hours_per_year,drawing-geometry; spatial-map; tabular-source,parameters; outputs; difficulty; archetype; evidence_profile; hidden_parameter_policy; source_geometry; source_table
road-pdi-calculation,electrical,energy-performance,src/aec_bench/templates/builtin/electrical/road_pdi_calculation,docs/task-world-opportunities/task-cards/electrical/road-pdi-calculation.md,Calculate road lighting Power Density Index,EN 13201-5; AS/NZS 1158.3.1,electrical; lighting; road-lighting; pdi; energy; deterministic,with-tool,3,2,2,all_given; partial,illuminated_area_m2,drawing-geometry; spatial-map; tabular-source,parameters; outputs; difficulty; archetype; evidence_profile; hidden_parameter_policy; source_geometry; source_table
road-uniformity-check,electrical,road-lighting,src/aec_bench/templates/builtin/electrical/road_uniformity_check,docs/task-world-opportunities/task-cards/electrical/road-uniformity-check.md,Calculate road lighting uniformity ratios,EN 13201-2; AS/NZS 1158.2,electrical; lighting; road-lighting; uniformity; deterministic,with-tool,5,3,2,all_given; partial,target_overall_uniformity,drawing-geometry; spatial-map; tabular-source,parameters; outputs; difficulty; archetype; evidence_profile; hidden_parameter_policy; source_geometry; source_table
shaft-dimensions,electrical,shaft-sizing,src/aec_bench/templates/builtin/electrical/shaft_dimensions,docs/task-world-opportunities/task-cards/electrical/shaft-dimensions.md,Calculate reduced lift shaft dimensions,ISO 4190-1; EN 81-20; AS 1735.1,electrical; vertical-transportation; lift; shaft; dimensions; deterministic,with-tool,9,4,2,all_given; partial,rear_clearance_mm,drawing-geometry; tabular-source; time-series,parameters; outputs; difficulty; archetype; evidence_profile; hidden_parameter_policy; source_geometry; source_table; source_timeseries
signal-sighting-distance,electrical,signal-sighting,src/aec_bench/templates/builtin/electrical/signal_sighting_distance,docs/task-world-opportunities/task-cards/electrical/signal-sighting-distance.md,Rail signal sighting distance from reaction and braking distance,Network Rail NR/L2/SIG/10158; AS 7711,electrical; rail; signal-sighting; braking-distance; deterministic,with-tool,4,5,2,all_given; partial,track_gradient_pct,drawing-geometry; spatial-map; tabular-source,parameters; outputs; difficulty; archetype; evidence_profile; hidden_parameter_policy; source_geometry; source_table
single-span-sag-tension,electrical,catenary-design,src/aec_bench/templates/builtin/electrical/single_span_sag_tension,docs/task-world-opportunities/task-cards/electrical/single-span-sag-tension.md,Single span sag-tension calculation for overhead contact wires per EN 50119,EN 50119; EN 50367,electrical; catenary; sag-tension; overhead-wire; deterministic,with-tool,4,4,3,all_given; partial,wire_weight_per_m_n,drawing-geometry; tabular-source; time-series,parameters; outputs; difficulty; archetype; evidence_profile; hidden_parameter_policy; source_geometry; source_table; source_timeseries
sports-illuminance-uniformity,electrical,sports-lighting,src/aec_bench/templates/builtin/electrical/sports_illuminance_uniformity,docs/task-world-opportunities/task-cards/electrical/sports-illuminance-uniformity.md,Calculate sports field illuminance and uniformity,EN 12193; AS 2560,electrical; lighting; sports-lighting; illuminance; uniformity; deterministic,with-tool,10,5,2,all_given; partial,target_uniformity_u2,drawing-geometry; tabular-source; spatial-map,parameters; outputs; difficulty; archetype; evidence_profile; hidden_parameter_policy; source_geometry; source_table
static-thermal-rating,electrical,thermal-rating,src/aec_bench/templates/builtin/electrical/static_thermal_rating,docs/task-world-opportunities/task-cards/electrical/static-thermal-rating.md,Steady-state thermal rating (ampacity) of bare overhead conductors per IEEE 738,IEEE 738; CIGRE TB 601,electrical; thermal-rating; ampacity; overhead-conductor; deterministic,with-tool,9,4,3,all_given; partial,absorptivity; emissivity,drawing-geometry; tabular-source; time-series,parameters; outputs; difficulty; archetype; evidence_profile; hidden_parameter_policy; source_geometry; source_table; source_timeseries
string-sizing,electrical,solar-pv-design,src/aec_bench/templates/builtin/electrical/string_sizing,docs/task-world-opportunities/task-cards/electrical/string-sizing.md,Solar PV string sizing with temperature-corrected voltage limits per AS/NZS 5033,AS/NZS 5033; IEC 62548,electrical; solar; pv; string-sizing; temperature-correction; deterministic,both,9,4,4,all_given; partial,site_max_temp_c; site_min_temp_c,tabular-source; time-series; drawing-geometry,parameters; outputs; difficulty; archetype; evidence_profile; hidden_parameter_policy; source_geometry; source_table; source_timeseries
three-phase-fault-current,electrical,short-circuit,src/aec_bench/templates/builtin/electrical/three_phase_fault_current,docs/task-world-opportunities/task-cards/electrical/three-phase-fault-current.md,Three-phase fault current calculation per IEC 60909-0,IEC 60909-0:2016; AS 3851,electrical; short-circuit; fault-current; iec-60909; deterministic,with-tool,8,6,4,all_given; partial,voltage_factor_c,tabular-source; time-series; drawing-geometry,parameters; outputs; difficulty; archetype; evidence_profile; hidden_parameter_policy; source_geometry; source_table; source_timeseries
vms-legibility-distance,electrical,vms-design,src/aec_bench/templates/builtin/electrical/vms_legibility_distance,docs/task-world-opportunities/task-cards/electrical/vms-legibility-distance.md,Variable message sign legibility distance and reading time,MUTCD; NYSDOT VMS Guidelines,electrical; vms; signage; legibility; its; deterministic,with-tool,3,4,2,all_given; partial,reading_rate_chars_s,drawing-geometry; tabular-source; time-series,parameters; outputs; difficulty; archetype; evidence_profile; hidden_parameter_policy; source_geometry; source_table; source_timeseries
voltage-drop,electrical,cable-sizing,src/aec_bench/templates/builtin/electrical/voltage_drop,docs/task-world-opportunities/task-cards/electrical/voltage-drop.md,Cable voltage drop calculation per AS/NZS 3008.1.1,AS/NZS 3008.1.1; AS/NZS 3000:2018; IEC 60364-5-52,electrical; voltage-drop; cable-sizing; deterministic,with-tool,6,4,4,all_given; partial,conductor_material,tabular-source; time-series; drawing-geometry,parameters; outputs; difficulty; archetype; evidence_profile; hidden_parameter_policy; source_geometry; source_table; source_timeseries
voltage-drop-dc,electrical,solar-pv-design,src/aec_bench/templates/builtin/electrical/voltage_drop_dc,docs/task-world-opportunities/task-cards/electrical/voltage-drop-dc.md,Calculate DC string cable voltage drop,AS/NZS 5033; AS/NZS 3008.1,electrical; solar-pv; dc; voltage-drop; cable; deterministic,with-tool,7,4,2,all_given; partial,cable_resistivity_ohm_mm2_m,tabular-source; time-series; drawing-geometry,parameters; outputs; difficulty; archetype; evidence_profile; hidden_parameter_policy; source_geometry; source_table; source_timeseries
voltage-regulation,electrical,electrical-parameters,src/aec_bench/templates/builtin/electrical/voltage_regulation,docs/task-world-opportunities/task-cards/electrical/voltage-regulation.md,Approximate three-phase transmission line voltage regulation,IEC 60909; AS 2067,electrical; voltage-regulation; line-drop; transmission; deterministic,with-tool,6,4,2,all_given; partial,load_reactive_power_mvar,drawing-geometry; tabular-source; time-series,parameters; outputs; difficulty; archetype; evidence_profile; hidden_parameter_policy; source_geometry; source_table; source_timeseries
warning-time-calculation,electrical,level-crossings,src/aec_bench/templates/builtin/electrical/warning_time_calculation,docs/task-world-opportunities/task-cards/electrical/warning-time-calculation.md,Level crossing warning time and strike-in distance,AS 7711; Network Rail standards,electrical; rail; level-crossing; warning-time; signalling; deterministic,with-tool,5,4,2,all_given; partial,system_delay_s,drawing-geometry; tabular-source; spatial-map,parameters; outputs; difficulty; archetype; evidence_profile; hidden_parameter_policy; source_geometry; source_table
wind-load-conductor,electrical,structural-loading,src/aec_bench/templates/builtin/electrical/wind_load_conductor,docs/task-world-opportunities/task-cards/electrical/wind-load-conductor.md,Calculate wind load on an overhead conductor span,IEC 60826; AS/NZS 7000,electrical; transmission-line; wind-load; conductor; deterministic,with-tool,6,3,2,all_given; partial,terrain_category,drawing-geometry; tabular-source; document-evidence,parameters; outputs; difficulty; archetype; evidence_profile; hidden_parameter_policy; source_geometry; source_table
yellow-interval-calculation,electrical,signal-timing,src/aec_bench/templates/builtin/electrical/yellow_interval_calculation,docs/task-world-opportunities/task-cards/electrical/yellow-interval-calculation.md,Traffic-signal yellow interval using the metric ITE equation,ITE Yellow Interval Equation; MUTCD; AS 1742.14,electrical; traffic-signals; yellow-interval; signal-timing; kinematics; deterministic,with-tool,4,4,3,all_given; partial,road_grade_pct,drawing-geometry; tabular-source; spatial-map,parameters; outputs; difficulty; archetype; evidence_profile; hidden_parameter_policy; source_geometry; source_table
consolidation-settlement,ground,shallow-foundations,src/aec_bench/templates/builtin/ground/consolidation_settlement,docs/task-world-opportunities/task-cards/ground/consolidation-settlement.md,Primary consolidation settlement for clay layers using Terzaghi's 1D theory,Terzaghi 1D consolidation theory,geotechnical; settlement; consolidation; clay; deterministic,with-tool,7,2,3,all_given; partial,compression_index_cc; initial_void_ratio_e0; recompression_index_cr,drawing-geometry; tabular-source; document-evidence,parameters; outputs; difficulty; archetype; evidence_profile; hidden_parameter_policy; source_geometry; source_table
